pm10,so2,co,o3,no2,categori
60.0,4.0,73.0,27.0,14.0,SEDANG
32.0,2.0,16.0,33.0,9.0,BAIK
27.0,2.0,19.0,20.0,9.0,BAIK
22.0,2.0,16.0,15.0,6.0,BAIK
25.0,2.0,17.0,15.0,8.0,BAIK
30.0,3.0,22.0,19.0,11.0,BAIK
41.0,4.0,24.0,27.0,13.0,BAIK
64.0,8.0,51.0,19.0,15.0,SEDANG
55.0,5.0,39.0,23.0,16.0,SEDANG
34.0,5.0,23.0,26.0,12.0,BAIK
55.0,10.0,32.0,23.0,16.0,SEDANG
45.0,4.0,33.0,9.0,17.0,BAIK
28.0,5.0,29.0,10.0,12.0,BAIK
38.0,6.0,28.0,15.0,10.0,BAIK
35.0,5.0,33.0,17.0,17.0,BAIK
54.0,5.0,38.0,17.0,18.0,SEDANG
44.0,4.0,28.0,22.0,14.0,BAIK
38.0,4.0,29.0,24.0,15.0,BAIK
40.0,3.0,43.0,23.0,23.0,BAIK
61.0,5.0,63.0,16.0,17.0,SEDANG
36.0,4.0,27.0,23.0,13.0,BAIK
51.0,4.0,45.0,14.0,13.0,SEDANG
35.0,3.0,30.0,20.0,14.0,BAIK
56.0,6.0,46.0,30.0,14.0,SEDANG
59.0,4.0,38.0,18.0,15.0,SEDANG
43.0,5.0,42.0,19.0,24.0,BAIK
54.0,8.0,38.0,40.0,16.0,SEDANG
72.0,8.0,55.0,20.0,17.0,SEDANG
51.0,8.0,24.0,19.0,11.0,SEDANG
47.0,8.0,32.0,19.0,12.0,BAIK
32.0,5.0,25.0,26.0,10.0,BAIK
41.0,7.0,30.0,17.0,13.0,BAIK
50.0,4.0,30.0,23.0,12.0,BAIK
49.0,7.0,33.0,57.0,23.0,SEDANG
59.0,9.0,38.0,75.0,26.0,SEDANG
63.0,7.0,39.0,41.0,23.0,SEDANG
65.0,8.0,59.0,24.0,15.0,SEDANG
60.0,10.0,45.0,47.0,17.0,SEDANG
46.0,5.0,31.0,42.0,17.0,BAIK
52.0,7.0,30.0,34.0,16.0,SEDANG
50.0,8.0,31.0,39.0,14.0,BAIK
47.0,5.0,27.0,26.0,14.0,BAIK
56.0,6.0,33.0,45.0,20.0,SEDANG
55.0,6.0,39.0,14.0,14.0,SEDANG
55.0,6.0,61.0,16.0,13.0,SEDANG
40.0,4.0,30.0,63.0,22.0,SEDANG
56.0,4.0,43.0,25.0,20.0,SEDANG
52.0,4.0,34.0,30.0,17.0,SEDANG
41.0,5.0,26.0,14.0,10.0,BAIK
37.0,4.0,43.0,17.0,17.0,BAIK
52.0,3.0,64.0,18.0,12.0,SEDANG
61.0,4.0,53.0,36.0,15.0,SEDANG
34.0,4.0,31.0,23.0,16.0,BAIK
57.0,7.0,35.0,42.0,18.0,SEDANG
59.0,4.0,44.0,93.0,24.0,SEDANG
65.0,6.0,55.0,26.0,26.0,SEDANG
68.0,9.0,67.0,67.0,22.0,SEDANG
67.0,8.0,47.0,47.0,19.0,SEDANG
65.0,6.0,38.0,80.0,23.0,SEDANG
60.0,5.0,39.0,44.0,19.0,SEDANG
74.0,8.0,56.0,68.0,27.0,SEDANG
54.0,12.0,35.0,77.0,25.0,SEDANG
59.0,9.0,32.0,62.0,20.0,SEDANG
62.0,11.0,35.0,31.0,19.0,SEDANG
72.0,10.0,54.0,43.0,23.0,SEDANG
59.0,7.0,46.0,57.0,19.0,SEDANG
56.0,7.0,37.0,39.0,18.0,SEDANG
45.0,5.0,33.0,27.0,15.0,BAIK
44.0,8.0,37.0,41.0,19.0,BAIK
51.0,6.0,37.0,18.0,14.0,SEDANG
43.0,6.0,42.0,39.0,20.0,BAIK
74.0,9.0,46.0,64.0,16.0,SEDANG
61.0,9.0,27.0,27.0,13.0,SEDANG
52.0,8.0,28.0,30.0,15.0,SEDANG
40.0,5.0,25.0,45.0,13.0,BAIK
50.0,8.0,30.0,25.0,15.0,BAIK
58.0,10.0,33.0,23.0,15.0,SEDANG
63.0,10.0,44.0,36.0,18.0,SEDANG
54.0,11.0,29.0,66.0,19.0,SEDANG
52.0,7.0,33.0,31.0,16.0,SEDANG
37.0,5.0,22.0,15.0,10.0,BAIK
52.0,9.0,44.0,42.0,29.0,SEDANG
55.0,9.0,33.0,46.0,20.0,SEDANG
48.0,4.0,45.0,57.0,29.0,SEDANG
61.0,18.0,41.0,59.0,16.0,SEDANG
56.0,4.0,44.0,45.0,13.0,SEDANG
50.0,2.0,34.0,27.0,25.0,BAIK
57.0,4.0,31.0,88.0,18.0,SEDANG
70.0,14.0,42.0,62.0,25.0,SEDANG
65.0,15.0,54.0,102.0,27.0,TIDAK SEHAT
59.0,12.0,46.0,27.0,15.0,SEDANG
40.0,10.0,33.0,33.0,12.0,BAIK
45.0,10.0,31.0,21.0,11.0,BAIK
66.0,19.0,39.0,80.0,25.0,SEDANG
57.0,17.0,34.0,80.0,24.0,SEDANG
70.0,16.0,40.0,59.0,21.0,SEDANG
70.0,13.0,57.0,41.0,19.0,SEDANG
38.0,11.0,30.0,42.0,13.0,BAIK
38.0,10.0,26.0,28.0,12.0,BAIK
36.0,9.0,22.0,27.0,10.0,BAIK
58.0,16.0,19.0,31.0,13.0,SEDANG
60.0,16.0,29.0,73.0,18.0,SEDANG
53.0,13.0,27.0,31.0,16.0,SEDANG
53.0,16.0,26.0,35.0,15.0,SEDANG
53.0,19.0,25.0,21.0,11.0,SEDANG
67.0,19.0,33.0,33.0,16.0,SEDANG
57.0,16.0,24.0,26.0,9.0,SEDANG
61.0,12.0,50.0,32.0,19.0,SEDANG
52.0,15.0,40.0,65.0,21.0,SEDANG
59.0,12.0,46.0,69.0,26.0,SEDANG
52.0,14.0,45.0,92.0,26.0,SEDANG
56.0,12.0,29.0,65.0,15.0,SEDANG
55.0,15.0,55.0,32.0,16.0,SEDANG
57.0,17.0,45.0,50.0,25.0,SEDANG
69.0,14.0,39.0,79.0,18.0,SEDANG
58.0,14.0,38.0,57.0,21.0,SEDANG
53.0,14.0,37.0,60.0,18.0,SEDANG
63.0,16.0,50.0,54.0,21.0,SEDANG
57.0,14.0,28.0,50.0,23.0,SEDANG
54.0,15.0,37.0,42.0,21.0,SEDANG
56.0,18.0,34.0,43.0,18.0,SEDANG
55.0,15.0,41.0,123.0,34.0,TIDAK SEHAT
58.0,17.0,50.0,113.0,29.0,TIDAK SEHAT
68.0,21.0,49.0,24.0,25.0,SEDANG
54.0,16.0,30.0,28.0,14.0,SEDANG
59.0,14.0,41.0,64.0,16.0,SEDANG
56.0,16.0,33.0,25.0,15.0,SEDANG
55.0,20.0,35.0,31.0,20.0,SEDANG
58.0,14.0,42.0,93.0,26.0,SEDANG
72.0,19.0,38.0,55.0,22.0,SEDANG
59.0,18.0,36.0,30.0,19.0,SEDANG
57.0,15.0,39.0,87.0,21.0,SEDANG
59.0,18.0,47.0,42.0,25.0,SEDANG
70.0,16.0,39.0,52.0,21.0,SEDANG
77.0,19.0,95.0,18.0,30.0,SEDANG
54.0,20.0,36.0,45.0,25.0,SEDANG
79.0,23.0,46.0,34.0,24.0,SEDANG
60.0,21.0,33.0,27.0,14.0,SEDANG
64.0,20.0,39.0,23.0,13.0,SEDANG
59.0,15.0,64.0,29.0,15.0,SEDANG
55.0,22.0,31.0,29.0,14.0,SEDANG
57.0,20.0,34.0,31.0,20.0,SEDANG
55.0,17.0,71.0,27.0,38.0,SEDANG
75.0,21.0,71.0,30.0,29.0,SEDANG
74.0,21.0,50.0,74.0,29.0,SEDANG
59.0,14.0,37.0,71.0,26.0,SEDANG
49.0,15.0,23.0,28.0,9.0,BAIK
51.0,18.0,31.0,28.0,13.0,SEDANG
58.0,17.0,36.0,41.0,21.0,SEDANG
64.0,17.0,32.0,41.0,23.0,SEDANG
56.0,19.0,30.0,44.0,22.0,SEDANG
69.0,18.0,46.0,55.0,25.0,SEDANG
60.0,15.0,40.0,36.0,19.0,SEDANG
65.0,17.0,34.0,33.0,14.0,SEDANG
50.0,17.0,29.0,22.0,12.0,BAIK
55.0,21.0,25.0,27.0,12.0,SEDANG
62.0,22.0,37.0,66.0,19.0,SEDANG
64.0,15.0,34.0,76.0,20.0,SEDANG
56.0,13.0,46.0,51.0,23.0,SEDANG
54.0,21.0,30.0,36.0,14.0,SEDANG
55.0,20.0,34.0,35.0,19.0,SEDANG
63.0,19.0,37.0,37.0,20.0,SEDANG
74.0,18.0,71.0,43.0,22.0,SEDANG
51.0,16.0,34.0,39.0,20.0,SEDANG
55.0,16.0,44.0,34.0,20.0,SEDANG
58.0,17.0,43.0,33.0,18.0,SEDANG
61.0,16.0,43.0,64.0,29.0,SEDANG
66.0,15.0,36.0,33.0,21.0,SEDANG
61.0,18.0,37.0,30.0,21.0,SEDANG
63.0,17.0,31.0,31.0,15.0,SEDANG
63.0,17.0,39.0,31.0,21.0,SEDANG
81.0,20.0,41.0,43.0,23.0,SEDANG
61.0,16.0,33.0,45.0,23.0,SEDANG
53.0,14.0,35.0,37.0,21.0,SEDANG
52.0,17.0,40.0,54.0,27.0,SEDANG
60.0,17.0,41.0,39.0,22.0,SEDANG
62.0,18.0,39.0,60.0,22.0,SEDANG
65.0,25.0,36.0,46.0,20.0,SEDANG
55.0,17.0,30.0,45.0,17.0,SEDANG
60.0,16.0,27.0,65.0,17.0,SEDANG
62.0,17.0,31.0,40.0,16.0,SEDANG
49.0,13.0,31.0,29.0,11.0,BAIK
57.0,22.0,44.0,59.0,24.0,SEDANG
63.0,14.0,40.0,38.0,20.0,SEDANG
48.0,15.0,31.0,22.0,10.0,BAIK
50.0,16.0,21.0,25.0,10.0,BAIK
48.0,12.0,19.0,47.0,25.0,BAIK
57.0,15.0,36.0,57.0,29.0,SEDANG
61.0,13.0,31.0,48.0,17.0,SEDANG
60.0,17.0,38.0,59.0,17.0,SEDANG
61.0,13.0,40.0,80.0,32.0,SEDANG
60.0,12.0,42.0,73.0,19.0,SEDANG
61.0,16.0,40.0,77.0,26.0,SEDANG
63.0,14.0,36.0,35.0,20.0,SEDANG
54.0,16.0,20.0,31.0,9.0,SEDANG
43.0,16.0,33.0,28.0,6.0,BAIK
